Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-457.539,-210.577,-4.535,-26.781
Net cash used for investing activites,-22968,-457.289,-210.577,-3.462,-25.379
Common stock issued,25759,9120,135.031,5066,10021
Common stock repurchased,-,-503.201,-9.818,-313.25,-1231
Net cash used privided by (used for) financing activities,25184,8617,125.213,4753,8790
Net change in cash,-3670,3034,-6793,2866,5598
Cash at beginning of period,10615,3147,9940,7074,1476
Cash at end of period,6945,6181,3147,9940,7074
Capital Expenditure,-,-457.539,-210.577,-4.535,-26.781
Free Cash Flow,-6355,-5583,-6918,-1888,-3194
