Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2384622,1466753,1030298,980489
Liabilities,,,,
Total Liabilities,2038917,1267957,931159,887593
Stockholders' Equity,,,,
Common Stock,297188,169939,82615,80624
Retained Earnings,48139,27003,17025,12272
Accumulated other comprehensive income,667,1854,-501,0
Total stockholders' equity,345705,198796,99139,92896
Total liabilities and stockholders' equity,2384622,1466753,1030298,980489
