Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,93496,93496,99189,73171,41851
Interest Expense,36924,36924,27841,15653,8633
Income Before Tax,39244,39244,43305,15572,15407
Income Tax Expense,6077,6077,9614,13147,5095
Income from Continuing Operations,33167,33167,33691,2425,10312
Net Income,33167,33167,33691,2425,10312
Net Income available to common shareholders,33167,33167,33691,2425,10312
Basic EPS,-,-,1.40,0.13,0.84
Diluted EPS,-,-,1.39,0.13,0.83
Basic Average Shares,-,-,24025,18391,12248
Diluted Average Shares,-,-,24273,18685,12423
