Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,248297,709082,354526,237469
Depreciation & amortization,-,892377,905905,905962
Change in working capital,-,-86239,466524,-530201
Inventory,-,-172745,-173829,-141278
Other working capital,-,1030543,702017,501720
Other non-cash items,-,36877,22241,11962
Net cash provided by operating activites,-,1656061,1475977,898434
Investments in property plant and equipment,-,-625518,-773960,-396714
Purchases of investments,-,-128228,-7288,-6857
Sales/Maturities of investments,-,170968,-,-
Other investing activites,-,7793,132858,109100
Net cash used for investing activites,-,-568190,-635163,-289793
Net change in cash,-,117290,212981,44427
Cash at beginning of period,-,767717,554736,510309
Cash at end of period,-,885008,767717,554736
Operating Cash Flow,-,1656061,1475977,898434
Capital Expenditure,-,-625518,-773960,-396714
Free Cash Flow,-,1030543,702017,501720
