Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2009000,2579000,3555000,3170000
Depreciation & amortization,-,791000,743000,707000
Change in working capital,-,39369000,3225000,1296000
Other working capital,-,43261000,-1544000,-6878000
Other non-cash items,-,3042000,-5064000,5485000
Net cash provided by operating activites,-,44927000,26000,-5855000
Investments in property plant and equipment,-,-1666000,-1570000,-1023000
Purchases of investments,-,-149941000,-195940000,-196405000
Sales/Maturities of investments,-,148120000,185804000,222836000
Other investing activites,-,-,-12000,-2000
Net cash used for investing activites,-,-3486000,-11718000,25415000
Net change in cash,-,40840000,-15295000,13692000
Cash at beginning of period,-,63739000,79035000,65342000
Cash at end of period,-,104580000,63739000,79035000
Operating Cash Flow,-,44927000,26000,-5855000
Capital Expenditure,-,-1666000,-1570000,-1023000
Free Cash Flow,-,43261000,-1544000,-6878000
