Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-757.45,-757.45
Net cash used for investing activites,-750.419,-750.419
Common stock issued,12553,12553
Common stock repurchased,-653.877,-653.877
Dividends Paid,-5302,-5302
Net cash used privided by (used for) financing activities,6597,6597
Net change in cash,4045,4045
Cash at beginning of period,8003,8003
Cash at end of period,12047,12047
Capital Expenditure,-757.45,-757.45
Free Cash Flow,-2559,-2559
