Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-1.4273,-1.4273,-24.0861,-262.8205
Net cash used for investing activites,-1.4273,-1.4273,-24.0861,-262.8205
Common stock issued,6183,6183,8862,29994
Net cash used privided by (used for) financing activities,10414,10414,8862,29994
Net change in cash,-8920,-7645,-13189,13987
Cash at beginning of period,9605,10384,23497,7274
Cash at end of period,684.7164,2739,10307,21262
Capital Expenditure,-1.4273,-1.4273,-24.0861,-262.8205
Free Cash Flow,-18715,-18059,-22052,-16006
