Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1144796,1104612,1006933
Liabilities,,,
Total Liabilities,575069,565867,510353
Stockholders' Equity,,,
Common Stock,4150,4150,4150
Retained Earnings,358696,327714,285489
Total stockholders' equity,569727,538745,496580
Total liabilities and stockholders' equity,1144796,1104612,1006933
