Breakdown,ttm,12/31/2019
Total Revenue,66290,66290
Interest Expense,54,54
Income Before Tax,40304,40304
Income Tax Expense,12321,12321
Income from Continuing Operations,27983,27983
Net Income,27983,27983
Net Income available to common shareholders,27983,27983
