Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5982000,4996000,2940000,2169000
Depreciation & amortization,-,1483000,4000000,1503000
Change in working capital,-,-852000,-4261000,9624000
Inventory,-,-964000,4249000,-417000
Other working capital,-,-5030000,-2883000,9380000
Other non-cash items,-,1051000,-2111000,-1427000
Net cash provided by operating activites,-,6691000,-643000,11970000
Investments in property plant and equipment,-,-11721000,-2240000,-2590000
Acquisitions net,-,-57000,-2029000,-
Purchases of investments,-,-46000,-545000,-338000
Sales/Maturities of investments,-,13000,531000,877000
Other investing activites,-,161000,522000,52000
Net cash used for investing activites,-,-8747000,-3747000,-1980000
Net change in cash,-,1037000,-1885000,11299000
Cash at beginning of period,-,27101000,28878000,17578000
Cash at end of period,-,28139000,27101000,28878000
Operating Cash Flow,-,6691000,-643000,11970000
Capital Expenditure,-,-11721000,-2240000,-2590000
Free Cash Flow,-,-5030000,-2883000,9380000
