Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,4823700,2677900,2420400
Liabilities,,,
Total Liabilities,2002000,800,1000
Stockholders' Equity,,,
Common Stock,200,200,200
Retained Earnings,793500,651300,665900
Total stockholders' equity,2821700,2677100,2419400
Total liabilities and stockholders' equity,4823700,2677900,2420400
