Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1216,-1858,-1844,-822,-1348
Acquisitions net,12299,266,-14071,-7500,-3158
Other investing activites,-2055,-2140,-1928,-2545,-2400
Net cash used for investing activites,10514,-1963,-14015,-10472,-6359
Debt repayment,-14236,-6185,-4575,-5578,-6632
Common stock issued,-,-,-,12321,-
Dividends Paid,-,-,-1258,-1060,-
Net cash used privided by (used for) financing activities,-14236,-6185,5167,5683,-6632
Net change in cash,-3794,-1903,-8986,1606,2786
Cash at beginning of period,6944,5588,14574,12968,10182
Cash at end of period,3150,3685,5588,14574,12968
Capital Expenditure,-1216,-1858,-1844,-822,-1348
Free Cash Flow,-1288,4387,-1982,5573,14429
