Breakdown,4/30/2019,4/30/2018,4/30/2017,4/30/2016
Total Assets,306182,324746,306273,276884
Liabilities,,,,
Total Liabilities,447,12494,1901,2004
Stockholders' Equity,,,,
Common Stock,40229,40229,40229,40229
Total stockholders' equity,305735,312252,304372,274880
Total liabilities and stockholders' equity,306182,324746,306273,276884
