Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,4938,24258,170594,119268
Depreciation & amortization,-,-,-,0
Change in working capital,-,-4179,9709,-21030
Other working capital,93289,106395,116231,103160
Other non-cash items,-,102071,117664,114080
Net cash provided by operating activites,93289,106395,116231,103160
Acquisitions net,-,-,0,-25783
Net cash used for investing activites,-4142,-3465,779933,-32373
Net change in cash,-137735,-34095,161513,136083
Cash at beginning of period,335061,360826,202592,63151
Cash at end of period,197326,332373,360826,202592
Operating Cash Flow,93289,106395,116231,103160
Free Cash Flow,93289,106395,116231,103160
