Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2769389,2322348,1223304,1264942
Depreciation & amortization,-,1658187,1604417,1623835
Change in working capital,-,-449338,-611346,469766
Inventory,-,-116174,-139390,-94981
Other working capital,-,2332519,1392031,2374519
Other non-cash items,-,308329,-274606,-70652
Net cash provided by operating activites,-,3999205,2655029,3942522
Investments in property plant and equipment,-,-1666686,-1262998,-1568003
Other investing activites,-,-205406,1216078,-84460
Net cash used for investing activites,-,-1872092,-46920,-1652463
Net change in cash,-,1317798,1878563,1611070
Cash at beginning of period,-,7943846,6065283,4454213
Cash at end of period,-,9261643,7943846,6065283
Operating Cash Flow,-,3999205,2655029,3942522
Capital Expenditure,-,-1666686,-1262998,-1568003
Free Cash Flow,-,2332519,1392031,2374519
