Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,174398,174398,178767,172741,165067
Interest Expense,36321,36321,20228,14592,15304
Income Before Tax,76509,76509,79654,76747,68290
Income Tax Expense,18669,18669,18209,33602,25689
Income from Continuing Operations,57840,57840,61445,43145,42601
Net Income,57840,57840,61445,43145,42601
Net Income available to common shareholders,57840,57840,61445,43145,42601
Basic EPS,-,-,0.64,0.45,0.45
Diluted EPS,-,-,0.64,0.45,0.45
Basic Average Shares,-,-,96505,96112,95548
Diluted Average Shares,-,-,96646,96222,95648
