Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6585000,4550000,1449000,4451000
Depreciation & amortization,-,3739000,3770000,3624000
Change in working capital,-,-5410000,4431000,-282000
Inventory,-,-107000,2424000,-1162000
Other working capital,-,37000,2330000,3978000
Other non-cash items,-,982000,-429000,160000
Net cash provided by operating activites,-,4393000,8333000,7435000
Investments in property plant and equipment,-,-4356000,-6003000,-3457000
Acquisitions net,-,-92000,-,-
Sales/Maturities of investments,-,-,1089000,-
Other investing activites,-,-333000,-401000,-484000
Net cash used for investing activites,-,-4619000,-4852000,-3900000
Net change in cash,-,-1569000,2254000,1650000
Cash at beginning of period,-,38631000,36349000,34698000
Cash at end of period,-,37061000,38631000,36349000
Operating Cash Flow,-,4393000,8333000,7435000
Capital Expenditure,-,-4356000,-6003000,-3457000
Free Cash Flow,-,37000,2330000,3978000
