Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,54175,54175,50788,46538,44282
Interest Expense,25550,25550,22262,14167,10014
Income Before Tax,21068,21068,19310,18216,17177
Income Tax Expense,4616,4616,5059,7791,6483
Income from Continuing Operations,16452,16452,14251,10425,10694
Net Income,16452,16452,14251,10425,10694
Net Income available to common shareholders,15980,15980,13838,10072,10352
Basic EPS,-,-,2.06,1.52,1.65
Diluted EPS,-,-,2.04,1.49,1.61
Basic Average Shares,-,-,6704,6635,6260
Diluted Average Shares,-,-,6773,6747,6415
