Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,384942,413046,389450,388432
Liabilities,,,,
Total Liabilities,349262,378995,355408,354618
Stockholders' Equity,,,,
Common Stock,2827,2814,2801,2787
Retained Earnings,22537,22066,21605,21708
Accumulated other comprehensive income,-209,-1230,-631,-810.057
Total stockholders' equity,35680,34051,34042,33814
Total liabilities and stockholders' equity,384942,413046,389450,388432
