Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2040200,1872100,1948300
Liabilities,,,
Total Liabilities,38200,35500,49500
Stockholders' Equity,,,
Common Stock,3200,3200,3200
Retained Earnings,292400,284100,332900
Total stockholders' equity,2002000,1836600,1898800
Total liabilities and stockholders' equity,2040200,1872100,1948300
