Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1120048,564466,125894,109628
Depreciation & amortization,-,126865,97111,67562
Change in working capital,-,83979,-254286,20964
Inventory,-,-468531,-112891,-154283
Other working capital,-,982602,-59899,69145
Other non-cash items,-,46584,25456,-46224
Net cash provided by operating activites,-,1035498,-16338,133354
Investments in property plant and equipment,-,-52896,-43561,-64209
Other investing activites,-,-8409,28775,-29615
Net cash used for investing activites,-,-61305,-14698,-93824
Net change in cash,-,781077,-291937,216690
Cash at beginning of period,-,316141,608078,391388
Cash at end of period,-,1097218,316141,608078
Operating Cash Flow,-,1035498,-16338,133354
Capital Expenditure,-,-52896,-43561,-64209
Free Cash Flow,-,982602,-59899,69145
