Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,65266,65266,57479,54031,53478
Interest Expense,19393,19393,13400,8078,5832
Income Before Tax,19514,19514,17389,16564,17146
Income Tax Expense,3403,3403,3003,6723,6100
Income from Continuing Operations,16111,16111,14386,9841,11046
Net Income,16111,16111,14386,9841,11046
Net Income available to common shareholders,15952,15952,14386,9841,11046
Basic EPS,-,2.08,1.95,1.30,1.46
Diluted EPS,-,2.05,1.91,1.27,1.43
Basic Average Shares,-,7655,7377,7554,7554
Diluted Average Shares,-,7770,7524,7734,7734
