Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13894000,25682000,18231000,18053000
Depreciation & amortization,-,51358000,46435000,46126000
Change in working capital,-,11280000,-30665000,10188000
Inventory,-,-295000,227000,19000
Other working capital,-,70035000,15057000,29338000
Other non-cash items,-,6952000,12082000,14940000
Net cash provided by operating activites,-,118093000,51728000,73324000
Investments in property plant and equipment,-,-48058000,-36671000,-43986000
Purchases of investments,-,-513000,-1708000,-23788000
Sales/Maturities of investments,-,80000,2689000,1599000
Other investing activites,-,-8915000,-8681000,-9308000
Net cash used for investing activites,-,-54872000,-41174000,-73999000
Net change in cash,-,-8212000,-26063000,-20335000
Cash at beginning of period,-,202863000,228926000,249261000
Cash at end of period,-,194650000,202863000,228926000
Operating Cash Flow,-,118093000,51728000,73324000
Capital Expenditure,-,-48058000,-36671000,-43986000
Free Cash Flow,-,70035000,15057000,29338000
