Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Total Revenue,68424,64086,56104,46107
Interest Expense,5031,4480,3186,2411
Income Before Tax,175,23846,17809,8346
Income Tax Expense,-764,4830,6310,2715
Income from Continuing Operations,939,19016,11499,5631
Net Income,939,19016,11499,5631
Net Income available to common shareholders,939,19016,11499,5631
Basic EPS,-,1.70,1.03,0.50
Diluted EPS,-,1.70,1.03,0.50
Basic Average Shares,-,11170,11170,11170
Diluted Average Shares,-,11170,11170,11170
