Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-1493,-3192
Sales/Maturities of investments,-,1121
Other investing activites,-,285
Net cash used for investing activites,-140,-1786
Debt repayment,-1945,-2271
Common stock issued,7634,20010
Common stock repurchased,-445,-1247
Net cash used privided by (used for) financing activities,6720,20109
Net change in cash,-25949,21404
Cash at beginning of period,26080,424
Cash at end of period,131,21865
Capital Expenditure,-1493,-3192
Free Cash Flow,-34022,-111
