Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,21361000,25750000,30115000,19622000
Depreciation & amortization,12264000,11982000,11568000,10602000
Change in working capital,2225000,2899000,-1485000,-4750000
Inventory,-1756000,-526000,3307000,-1491000
Other working capital,30293000,35012000,38103000,20783000
Other non-cash items,-2156000,-2010000,-1735000,-1890000
Net cash provided by operating activites,40894000,43806000,48406000,34045000
Investments in property plant and equipment,-10601000,-8794000,-10303000,-13262000
Purchases of investments,-14008000,-12377000,-5850000,-3393000
Sales/Maturities of investments,13763000,2345000,2880000,4862000
Other investing activites,59000,-12000,132000,-1029000
Net cash used for investing activites,-10321000,-18321000,-12742000,-12409000
Net change in cash,16641000,9888000,22749000,5571000
Cash at beginning of period,121484000,118758000,96008000,90437000
Cash at end of period,138743000,128647000,118758000,96008000
Operating Cash Flow,40894000,43806000,48406000,34045000
Capital Expenditure,-10601000,-8794000,-10303000,-13262000
Free Cash Flow,30293000,35012000,38103000,20783000
