Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,71383,71383,59243,155619,151707
Depreciation & amortization,-,-,9904,6921,3180
Stock based compensation,-,-,-3434,-404,6299
Change in working capital,-,-,-111769,-65121,-394555
Other working capital,-,-,-45702,103147,-167529
Other non-cash items,-,-,67757,44501,27494
Net cash provided by operating activites,-,-,60276,184040,-165950
Investments in property plant and equipment,-,-,-105978,-80893,-1579
Acquisitions net,-,-,-144718,-104501,0
Purchases of investments,-,-,-5118,-7296,-
Sales/Maturities of investments,-,-,11003,-,-
Net cash used for investing activites,-,-,-225864,-183321,-1579
Net change in cash,-,-,-80188,394282,-129185
Cash at beginning of period,-,-,511292,127860,257367
Cash at end of period,-,-,431093,522295,127860
Operating Cash Flow,-,-,60276,184040,-165950
Capital Expenditure,-,-,-105978,-80893,-1579
Free Cash Flow,-,-,-45702,103147,-167529
