Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,226151000,203315000,198322000,199190000
Selling General and Administrative,145198000,117087000,120179000,223904000
Total Operating Expenses,154388000,121724000,126250000,230844000
Interest Expense,26234000,21967000,18943000,17467000
Income Before Tax,177901000,73652000,70774000,-35557000
Income Tax Expense,19360000,22046000,21443000,18849000
Income from Continuing Operations,158541000,51606000,49331000,-54406000
Net Income,158566000,51649000,49369000,-54300000
Net Income available to common shareholders,158566000,51649000,49369000,-54300000
Basic EPS,-,300.71,287.40,-316.10
Diluted EPS,-,300.71,287.40,-316.10
Basic Average Shares,-,171756,171765,171773
Diluted Average Shares,-,171756,171765,171773
