Breakdown,ttm,8/31/2019,8/31/2018
Net Income,2382597,2382597,2075928
Depreciation & amortization,973958,973958,838165
Change in working capital,205696,205696,624791
Other working capital,-8973191,-8973191,-62727744
Other non-cash items,99148,99148,204795
Net cash provided by operating activites,3645694,3645694,3650702
Investments in property plant and equipment,-12618885,-12618885,-66378446
Purchases of investments,-6162,-6162,-33309
Sales/Maturities of investments,317429,317429,1167641
Other investing activites,-,-,-2
Net cash used for investing activites,-12307617,-12307617,-65244116
Net change in cash,1426670,1426670,3642060
Cash at beginning of period,9439033,9439033,4921162
Cash at end of period,10865704,10865704,8563223
Operating Cash Flow,3645694,3645694,3650702
Capital Expenditure,-12618885,-12618885,-66378446
Free Cash Flow,-8973191,-8973191,-62727744
