Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,176415,259623,189760,150336
Depreciation & amortization,-,200110,147666,145383
Change in working capital,-,95831,-89934,-35953
Inventory,-,21031,-258979,-116984
Other working capital,-,297858,25119,207425
Other non-cash items,-,828,482,-1910
Net cash provided by operating activites,-,593915,239085,338529
Investments in property plant and equipment,-,-296057,-213966,-131104
Purchases of investments,-,-877,-39112,-39090
Sales/Maturities of investments,-,-,-,2880
Other investing activites,-,-282,2604,-51
Net cash used for investing activites,-,-288828,-249241,-163462
Net change in cash,-,324344,-110459,98568
Cash at beginning of period,-,1762390,1872849,1774281
Cash at end of period,-,2086734,1762390,1872849
Operating Cash Flow,-,593915,239085,338529
Capital Expenditure,-,-296057,-213966,-131104
Free Cash Flow,-,297858,25119,207425
