Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,111564,61277,-30089,-83533
Depreciation & amortization,-,758017,739175,799509
Change in working capital,-,-67665,-223910,127150
Inventory,-,-67370,3764,-22307
Other working capital,-,437869,-420891,205850
Other non-cash items,-,50812,413993,422474
Net cash provided by operating activites,-,1076706,923434,1258284
Investments in property plant and equipment,-,-638837,-1344325,-1052434
Acquisitions net,-,-39902,-332492,-
Other investing activites,-,27145,-81944,-37559
Net cash used for investing activites,-,-665007,-1819340,-870602
Net change in cash,-,179778,-392035,459647
Cash at beginning of period,-,357484,749519,289872
Cash at end of period,-,537262,357484,749519
Operating Cash Flow,-,1076706,923434,1258284
Capital Expenditure,-,-638837,-1344325,-1052434
Free Cash Flow,-,437869,-420891,205850
