Breakdown,ttm,2/28/2019
Investments in property plant and equipment,-918.326,-926.021
Other investing activites,51360,-4187
Net cash used for investing activites,201679,146124
Common stock repurchased,-,-51120
Dividends Paid,-,-97950
Net cash used privided by (used for) financing activities,-146924,-149070
Net change in cash,60360,-3627
Cash at beginning of period,15543,76544
Cash at end of period,75903,72849
Capital Expenditure,-918.326,-926.021
Free Cash Flow,4687,-1608
