Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-,-47.047
Acquisitions net,-,-687.853,-499.649,-,120.047
Net cash used for investing activites,-3.623,-687.853,-495.695,11.223,73
Debt repayment,-,-,461.364,-,-
Common stock issued,1291,1222,4197,1201,5000
Common stock repurchased,-107.271,-68.65,-260.416,-99.383,-415.539
Net cash used privided by (used for) financing activities,1279,1353,4382,1101,5283
Net change in cash,-312.787,-1438,1022,-1766,2240
Cash at beginning of period,810.171,1546,493.804,2299,176.212
Cash at end of period,497.384,99.14,1546,493.804,2299
Capital Expenditure,-,-,-,-,-47.047
Free Cash Flow,-1592,-2103,-2864,-2879,-3163
