Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,132104,282547,108525,-234040
Depreciation & amortization,-,1736919,1735758,1604179
Change in working capital,-,18364,27176,-237088
Inventory,-,117287,48290,-100383
Other working capital,-,216163,145788,97457
Other non-cash items,-,69845,127570,230981
Net cash provided by operating activites,-,2084814,1970722,1637384
Investments in property plant and equipment,-,-1868651,-1824934,-1539927
Purchases of investments,-,-,-,-2507737
Sales/Maturities of investments,-,106240,162363,-
Other investing activites,-,-79818,-121804,-376277
Net cash used for investing activites,-,-1842229,1039040,-4333129
Net change in cash,-,-1392540,2072174,-84343
Cash at beginning of period,-,10732262,8532038,8616381
Cash at end of period,-,9339721,10732262,8532038
Operating Cash Flow,-,2084814,1970722,1637384
Capital Expenditure,-,-1868651,-1824934,-1539927
Free Cash Flow,-,216163,145788,97457
