Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1903,-2416,-4135,-156.229,-293.188
Purchases of investments,-,-,-,-9.838,-197.148
Sales/Maturities of investments,-,185.811,75.18,-,3299
Other investing activites,693.161,274.606,2311,-,-
Net cash used for investing activites,-703.106,-1604,-1644,-166.067,2809
Common stock issued,-,2000,2138,48.5,-
Common stock repurchased,-,-12.059,-113.944,-5.25,-1.654
Net cash used privided by (used for) financing activities,-,1988,2024,43.25,-1.654
Net change in cash,-1004,-924.808,-310.574,-1098,1978
Cash at beginning of period,2904,3820,4131,5229,3251
Cash at end of period,1900,2895,3820,4131,5229
Capital Expenditure,-1903,-2416,-4135,-156.229,-293.188
Free Cash Flow,-3198,-3725,-4825,-1132,-1122
