Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,72008,71317,194227,413283
Depreciation & amortization,-,760110,-,-
Change in working capital,-,-2122768,-,-
Inventory,-,1744435,-,-
Other working capital,-3462229,-676000,-3721477,586965
Other non-cash items,-,107401,-,-
Net cash provided by operating activites,-,-676000,-,-
Investments in property plant and equipment,-,-,-1029228,-1000810
Acquisitions net,-,-,-,-34409
Purchases of investments,-1120578,-2268000,-4090000,-2701370
Sales/Maturities of investments,3302980,4220000,3390000,3727874
Other investing activites,-282787,-278402,213071,-282246
Net cash used for investing activites,1857699,1681663,-1509117,-290085
Net change in cash,461327,-3500609,-1997849,25643
Cash at beginning of period,8915131,15206291,17204140,17178496
Cash at end of period,9326272,11705681,15206291,17204140
Operating Cash Flow,-,-676000,-,-
Capital Expenditure,-,-,-1029228,-1000810
Free Cash Flow,-3462229,-676000,-3721477,586965
