Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-2780,-746.07,-83.488
Purchases of investments,-,-56.538,-7.5,-19.555
Sales/Maturities of investments,-,-,125,21.768
Other investing activites,-,-,167,-90
Net cash used for investing activites,-931.618,-2837,-447.934,-171.275
Common stock issued,350,391,5170,1274
Common stock repurchased,-,-,-80.427,-22.622
Net cash used privided by (used for) financing activities,269.477,391,5090,1251
Net change in cash,-1410,-3125,2848,616.139
Cash at beginning of period,1970,3524,676.478,60.339
Cash at end of period,559.539,399.151,3524,676.478
Capital Expenditure,-,-2780,-746.07,-83.488
Free Cash Flow,-2180,-3460,-2540,-547.331
