Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,8670125,8670125,7173174
Cost of Revenue,6289762,6289762,5327055
Gross Profit,2380362,2380362,1846119
Total Operating Expenses,1460354,1460354,1191770
Operating Income or Loss,920008,920008,654349
Interest Expense,1799,1799,835
Income Before Tax,913439,913439,637799
Income Tax Expense,287397,287397,186671
Income from Continuing Operations,626042,626042,451128
Net Income,626042,626042,451128
Net Income available to common shareholders,626042,626042,451128
Basic EPS,-,-,55.34
Diluted EPS,-,-,55.34
Basic Average Shares,-,-,8152
Diluted Average Shares,-,-,8152
