Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-581.141,-229.561,-441.461
Other investing activites,-,-,-,-,0.001
Net cash used for investing activites,-,126.998,-581.141,-229.561,-441.461
Common stock issued,1362,1000,3318,-,3546
Other financing activites,-,-,-,-,-206.22
Net cash used privided by (used for) financing activities,1362,1000,3318,-,3340
Net change in cash,-1093,-600.629,1430,-1388,2497
Cash at beginning of period,2971,2553,1123,2512,14.64
Cash at end of period,1878,1953,2553,1123,2512
Capital Expenditure,-,-,-581.141,-229.561,-441.461
Free Cash Flow,-2582,-1728,-1888,-1388,-842.903
