Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-344623,139657,384639,176273
Depreciation & amortization,-,297087,315863,314464
Change in working capital,-,123108,89703,75698
Inventory,-,-27294,87497,29697
Other working capital,-,67954,717065,465093
Other non-cash items,-,-76408,6765,-54120
Net cash provided by operating activites,-,348809,927239,638669
Investments in property plant and equipment,-,-280855,-210174,-173576
Acquisitions net,-,-,-80000,-
Purchases of investments,-,-630020,-100000,-100000
Sales/Maturities of investments,-,830019,-,-
Other investing activites,-,-50101,-19893,223144
Net cash used for investing activites,-,-130957,-410067,-50432
Net change in cash,-,28205,354670,461148
Cash at beginning of period,-,2836354,2381248,1920100
Cash at end of period,-,2864560,2735918,2381248
Operating Cash Flow,-,348809,927239,638669
Capital Expenditure,-,-280855,-210174,-173576
Free Cash Flow,-,67954,717065,465093
