Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,34809000,32223000,26268000,23359000
Depreciation & amortization,656000,599000,504000,414000
Change in working capital,-217000,-106000,931000,399000
Inventory,8000,77000,201000,-104000
Other working capital,18407000,19307000,19047000,20244000
Other non-cash items,420000,440000,294000,198000
Net cash provided by operating activites,31424000,29843000,26107000,21311000
Investments in property plant and equipment,-13017000,-10536000,-7060000,-1067000
Purchases of investments,-151000,-151000,-1000,-1990000
Sales/Maturities of investments,360000,180000,27000,5156000
Other investing activites,2525000,2298000,714000,214000
Net cash used for investing activites,-10283000,-8209000,-6320000,2314000
Net change in cash,8020000,10514000,11336000,15619000
Cash at beginning of period,114065000,109458000,98121000,82502000
Cash at end of period,122086000,119972000,109458000,98121000
Operating Cash Flow,31424000,29843000,26107000,21311000
Capital Expenditure,-13017000,-10536000,-7060000,-1067000
Free Cash Flow,18407000,19307000,19047000,20244000
