Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-164.797,-164.978,-48.841,-31.462,-17.115
Net cash used for investing activites,-164.797,-164.978,-48.841,-31.462,-17.115
Common stock issued,-,2655,1371,1650,4000
Common stock repurchased,-,-202.821,-90.493,-99.002,-449.687
Net cash used privided by (used for) financing activities,-53.85,2452,-129.436,1551,3550
Net change in cash,-156.815,1846,-1776,-105.559,2765
Cash at beginning of period,2981,1065,2841,2947,181.773
Cash at end of period,2824,2911,1065,2841,2947
Capital Expenditure,-164.797,-164.978,-48.841,-31.462,-17.115
Free Cash Flow,-102.965,-605.984,-1647,-1657,-785.111
