Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1112486,1033280,929568,827175
Liabilities,,,,
Total Liabilities,256610,235009,204637,175452
Stockholders' Equity,,,,
Common Stock,433372,428689,424314,420190
Retained Earnings,72908,67466,63225,59526
Accumulated other comprehensive income,349596,302116,237392,172007
Total stockholders' equity,855876,798271,724931,651723
Total liabilities and stockholders' equity,1112486,1033280,929568,827175
