Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-162.006,-60.182,-64.948,-36.304,-418.464
Acquisitions net,-,1.648,0.128,-,-
Net cash used for investing activites,-134.506,-58.534,-64.82,-36.304,-418.464
Common stock repurchased,-,-,-,-,-1043
Dividends Paid,-1709,-1751,-1795,-1857,-1580
Net cash used privided by (used for) financing activities,-1709,-1751,-1795,-1857,-2623
Net change in cash,-118.554,-333.978,239.071,212.257,-1031
Cash at beginning of period,4330,4272,4033,3821,4851
Cash at end of period,4211,3938,4272,4033,3821
Capital Expenditure,-162.006,-60.182,-64.948,-36.304,-418.464
Free Cash Flow,1563,1415,2034,2070,1592
