Breakdown,ttm,5/31/2019,5/31/2018
Net Income,399946,144422,220608
Depreciation & amortization,-,211330,215869
Change in working capital,-,-571668,542608
Inventory,-,-190113,19401
Other working capital,-,-165252,1424991
Other non-cash items,-,-108797,223118
Net cash provided by operating activites,-,-101469,1493349
Investments in property plant and equipment,-,-63783,-68358
Acquisitions net,-,-,-411993
Purchases of investments,-,-14880,-40870
Sales/Maturities of investments,-,128278,123617
Other investing activites,-,348,1221
Net cash used for investing activites,-,49963,-377883
Net change in cash,-,-417897,1468181
Cash at beginning of period,-,2753423,1285242
Cash at end of period,-,2335526,2753423
Operating Cash Flow,-,-101469,1493349
Capital Expenditure,-,-63783,-68358
Free Cash Flow,-,-165252,1424991
