Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1254847,1199657,1014137,939168
Liabilities,,,,
Total Liabilities,99419,84042,73782,59208
Stockholders' Equity,,,,
Common Stock,916233,908015,749967,718221
Retained Earnings,57603,47025,47388,45292
Accumulated other comprehensive income,181592,160575,143000,116447
Total stockholders' equity,1155428,1115615,940355,879960
Total liabilities and stockholders' equity,1254847,1199657,1014137,939168
