Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5489000,6179000,5676000,3501000
Depreciation & amortization,-,7429000,7615000,8155000
Change in working capital,-,-1137000,2960000,-1480000
Inventory,-,-682000,-982000,48000
Other working capital,-,5067000,9663000,4929000
Other non-cash items,-,534000,240000,93000
Net cash provided by operating activites,-,13008000,17025000,12583000
Investments in property plant and equipment,-,-7941000,-7362000,-7654000
Purchases of investments,-,-164000,-21000,-7000
Sales/Maturities of investments,-,-,0,96000
Other investing activites,-,25000,-149000,5000
Net cash used for investing activites,-,-8037000,-7496000,-7463000
Net change in cash,-,1543000,5143000,-913000
Cash at beginning of period,-,15128000,9985000,10878000
Cash at end of period,-,16672000,15128000,9985000
Operating Cash Flow,-,13008000,17025000,12583000
Capital Expenditure,-,-7941000,-7362000,-7654000
Free Cash Flow,-,5067000,9663000,4929000
