Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,14079524,13095145,12716886,9509607
Liabilities,,,,
Total Liabilities,11919562,11061496,10766964,8258595
Stockholders' Equity,,,,
Common Stock,1650753,1642246,1634705,998054
Retained Earnings,519676,426708,337442,271957
Accumulated other comprehensive income,40367,-35305,-22225,-18999
Total stockholders' equity,2159962,2033649,1949922,1251012
Total liabilities and stockholders' equity,14079524,13095145,12716886,9509607
