Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,37566,90362,-252737,307059
Depreciation & amortization,-,146320,118685,106883
Change in working capital,-,81942,50297,-81248
Inventory,-,107658,9192,-67454
Other working capital,-,730978,-664697,123252
Other non-cash items,-,14996,43677,-4026
Net cash provided by operating activites,-,832785,-258976,362021
Investments in property plant and equipment,-,-101807,-405721,-238769
Purchases of investments,-,-182001,-,-
Sales/Maturities of investments,-,6405,-,-
Other investing activites,-,-,-98540,-289820
Net cash used for investing activites,-,-276877,-496613,-543137
Net change in cash,-,99486,36055,-16933
Cash at beginning of period,-,240784,204729,221662
Cash at end of period,-,340271,240784,204729
Operating Cash Flow,-,832785,-258976,362021
Capital Expenditure,-,-101807,-405721,-238769
Free Cash Flow,-,730978,-664697,123252
