Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4943,-4943,-2432,-888,-873
Acquisitions net,-,-,-98074,-54373,-5820
Other investing activites,-5130,-5130,-,-,-
Net cash used for investing activites,-10067,-10067,-100394,-55261,-6693
Debt repayment,-,-,-13013,-,-22167
Common stock issued,940,940,129225,233,20000
Common stock repurchased,-,-,-4498,-14,-1664
Dividends Paid,-5076,-5076,-7683,-6586,-
Net cash used privided by (used for) financing activities,-2093,-2093,104031,50258,-3831
Net change in cash,-8393,-8393,7961,8414,-446
Cash at beginning of period,19892,19892,11010,2651,3097
Cash at end of period,11967,11967,19892,11010,2651
Capital Expenditure,-4943,-4943,-2432,-888,-873
Free Cash Flow,-1176,-1176,1892,12529,9205
