Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1048000,610000,2093000,2281000
Depreciation & amortization,-,5472000,5082000,4797000
Change in working capital,-,-770000,-1080000,-395000
Inventory,-,-478000,-36000,-760000
Other working capital,-,117000,111000,6276000
Other non-cash items,-,-69000,1508000,349000
Net cash provided by operating activites,-,5974000,8082000,8770000
Investments in property plant and equipment,-,-5857000,-7971000,-2494000
Purchases of investments,-,-618000,-,-
Other investing activites,-,23000,-1354000,-166000
Net cash used for investing activites,-,-5733000,-9151000,-2719000
Net change in cash,-,-3089000,-5733000,4443000
Cash at beginning of period,-,5203000,10937000,6493000
Cash at end of period,-,2439000,5203000,10937000
Operating Cash Flow,-,5974000,8082000,8770000
Capital Expenditure,-,-5857000,-7971000,-2494000
Free Cash Flow,-,117000,111000,6276000
