Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1752082,-1884318,-1577142,-1113661
Depreciation & amortization,-,82770,73210,42707
Stock based compensation,-,14010,34574,20216
Change in working capital,-,117993,-20321,16668
Inventory,-,27569,14740,-6070
Other working capital,-,-1632828,-1702891,-1171354
Other non-cash items,-,-31176,-102461,-47726
Net cash provided by operating activites,-,-1457571,-1591336,-1067512
Investments in property plant and equipment,-,-175257,-111555,-103842
Acquisitions net,-,-7200,-,-
Sales/Maturities of investments,-,-,-,7277
Other investing activites,-,-4458,-1,1
Net cash used for investing activites,-,-185115,-111556,-96564
Net change in cash,-,-1626876,1578189,2395111
Cash at beginning of period,-,6528053,4950570,2555458
Cash at end of period,-,4901177,6528759,4950570
Operating Cash Flow,-,-1457571,-1591336,-1067512
Capital Expenditure,-,-175257,-111555,-103842
Free Cash Flow,-,-1632828,-1702891,-1171354
