Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-480.154,-496.846,-,-
Acquisitions net,-,65.987,-166.7,-691.25,-
Other investing activites,-,187.233,600,-,-
Net cash used for investing activites,-,-176.934,-63.546,-646.182,129.962
Common stock issued,-,-,6113,5219,-
Common stock repurchased,-,-,-294.985,-54.986,-
Other financing activites,-,332.676,-252.435,-,-
Net cash used privided by (used for) financing activities,4159,332.676,5565,5164,-
Net change in cash,718,-4731,1823,3566,-632.946
Cash at beginning of period,2853,5564,3741,175.362,808.308
Cash at end of period,3571,832.548,5564,3741,175.362
Capital Expenditure,-,-480.154,-496.846,-,-
Free Cash Flow,-3481,-5367,-4176,-951.989,-762.908
