Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,329623,329623,366421,379916,356363
Interest Expense,80371,80371,58338,34009,27201
Income Before Tax,102981,102981,119406,86385,101207
Income Tax Expense,22591,22591,37537,46196,30963
Income from Continuing Operations,80390,80390,81869,40189,70244
Net Income,80028,80028,80384,40591,71628
Net Income available to common shareholders,81171,81171,78702,35704,67565
Basic EPS,-,-,0.94,0.43,0.83
Diluted EPS,-,-,0.92,0.42,0.81
Basic Average Shares,-,-,83597,82431,81264
Diluted Average Shares,-,-,85331,84803,83209
