Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,2949000,381000,3578000,2247000
Depreciation & amortization,-,3607000,3568000,3464000
Change in working capital,-,-21855000,-1470000,-9711000
Inventory,-,-26865000,-3525000,-8916000
Other working capital,-,-24227000,2767000,-11237000
Other non-cash items,-,105000,1117000,1018000
Net cash provided by operating activites,-,-19593000,6989000,-4632000
Investments in property plant and equipment,-,-4634000,-4222000,-6605000
Acquisitions net,-,-5438000,-,-240000
Purchases of investments,-,-148000,-7000,-24000
Other investing activites,-,-813000,-1121000,-1395000
Net cash used for investing activites,-,-11015000,-5315000,-8262000
Net change in cash,-,206000,10387000,5214000
Cash at beginning of period,-,22763000,14337000,9122000
Cash at end of period,-,22970000,22763000,14337000
Operating Cash Flow,-,-19593000,6989000,-4632000
Capital Expenditure,-,-4634000,-4222000,-6605000
Free Cash Flow,-,-24227000,2767000,-11237000
