Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,727000,695000,815000,866000
Depreciation & amortization,485000,437000,438000,426000
Stock based compensation,79000,87000,76000,61000
Change in working capital,-155000,-26000,-70000,-39000
Inventory,-,-,0,1000
Other working capital,624000,802000,761000,956000
Other non-cash items,216000,181000,113000,19000
Net cash provided by operating activites,1106000,1241000,1192000,1355000
Investments in property plant and equipment,-482000,-439000,-431000,-399000
Acquisitions net,-422000,-77000,-202000,-400000
Purchases of investments,-75000,-25000,-31000,-14000
Other investing activites,-,-,278000,-21000
Net cash used for investing activites,-952000,-516000,-358000,-819000
Net change in cash,-32000,23000,66000,-77000
Cash at beginning of period,172000,137000,81000,151000
Cash at end of period,140000,146000,137000,81000
Operating Cash Flow,1106000,1241000,1192000,1355000
Capital Expenditure,-482000,-439000,-431000,-399000
Free Cash Flow,624000,802000,761000,956000
