Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2615340,2285581,2202803,2042751
Depreciation & amortization,-,297031,295099,272926
Change in working capital,-,-740312,-329230,-875484
Inventory,-,-45144,106644,-85824
Other working capital,-,1335262,1951714,861832
Other non-cash items,-,-41849,-6681,84741
Net cash provided by operating activites,-,1824708,2174690,1144855
Investments in property plant and equipment,-,-489446,-222976,-283023
Acquisitions net,-,-354838,-38231,-82827
Purchases of investments,-,-3679665,-5852812,-3860019
Sales/Maturities of investments,-,3280904,5874585,3823130
Other investing activites,-,-15946,-34228,-103171
Net cash used for investing activites,-,-1238169,-179373,-505910
Net change in cash,-,-691669,1388933,33296
Cash at beginning of period,-,6892874,5503941,5470644
Cash at end of period,-,6201204,6892874,5503941
Operating Cash Flow,-,1824708,2174690,1144855
Capital Expenditure,-,-489446,-222976,-283023
Free Cash Flow,-,1335262,1951714,861832
