Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2037994,2177764,2221045,2658662
Depreciation & amortization,-,940717,941162,960763
Change in working capital,-,-480853,-762350,-1139309
Inventory,-,-410015,-160082,-596998
Other working capital,-,2098248,1629855,1778424
Other non-cash items,-,526304,201652,242008
Net cash provided by operating activites,-,3451602,2568911,3002056
Investments in property plant and equipment,-,-1353354,-939056,-1223632
Purchases of investments,-,-1109070,-,-
Other investing activites,-,-1,-,49999
Net cash used for investing activites,-,-2452079,-939056,-1312765
Net change in cash,-,-391748,405617,406464
Cash at beginning of period,-,3846241,3440623,3034159
Cash at end of period,-,3485457,3846241,3440623
Operating Cash Flow,-,3451602,2568911,3002056
Capital Expenditure,-,-1353354,-939056,-1223632
Free Cash Flow,-,2098248,1629855,1778424
