Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,532864,404175,288254,192720
Depreciation & amortization,-,78822,75460,75450
Change in working capital,-,-210597,153756,-45496
Inventory,-,31127,-39139,-2065
Other working capital,-,115087,614160,-112703
Other non-cash items,-,-25829,-1934,37682
Net cash provided by operating activites,-,132744,630956,-100995
Investments in property plant and equipment,-,-17657,-16796,-11708
Acquisitions net,-,-12500,-10000,-
Purchases of investments,-,-124938,-25584,-894892
Sales/Maturities of investments,-,233111,53505,252844
Other investing activites,-,-23361,-68126,848800
Net cash used for investing activites,-,198648,116086,384226
Net change in cash,-,215784,661816,-52207
Cash at beginning of period,-,2675425,2013608,2065816
Cash at end of period,-,2891209,2675425,2013608
Operating Cash Flow,-,132744,630956,-100995
Capital Expenditure,-,-17657,-16796,-11708
Free Cash Flow,-,115087,614160,-112703
