Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,266000,266000,830000,699000,368000
Depreciation & amortization,-,-,244000,139000,78000
Stock based compensation,-,-,36000,39000,-
Change in working capital,-133000,-133000,-2686000,-6144000,1271000
Other working capital,158000,158000,670000,2088000,665000
Other non-cash items,-24000,-24000,2000,131000,259000
Net cash provided by operating activites,201000,201000,826000,2194000,736000
Investments in property plant and equipment,-43000,-43000,-156000,-106000,-71000
Acquisitions net,-109000,-109000,-5606000,-,-184000
Purchases of investments,-590000,-590000,-4000,-,-
Sales/Maturities of investments,800000,800000,-,19000,0
Other investing activites,-22000,-22000,-,-,0
Net cash used for investing activites,1821000,1821000,-5585000,767000,-233000
Net change in cash,407000,407000,-8790000,1787000,-1903000
Cash at beginning of period,957000,957000,9715000,7900000,9591000
Cash at end of period,1347000,1347000,957000,9715000,7900000
Operating Cash Flow,201000,201000,826000,2194000,736000
Capital Expenditure,-43000,-43000,-156000,-106000,-71000
Free Cash Flow,158000,158000,670000,2088000,665000
