Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,63177,63177,59424,53863,52302
Interest Expense,11529,11529,8112,7371,8223
Income Before Tax,16465,16465,13431,12214,10064
Income Tax Expense,3336,3336,2764,6945,2783
Income from Continuing Operations,13129,13129,10667,5269,7281
Net Income,13129,13129,10667,5269,7281
Net Income available to common shareholders,13129,13129,10667,4054,5256
Basic EPS,-,-,1.51,0.58,0.84
Diluted EPS,-,-,1.51,0.58,0.84
Basic Average Shares,-,-,7079,6932,6264
Diluted Average Shares,-,-,7079,6932,6264
