Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4570000,4649000,4869000,3588000
Depreciation & amortization,-,5018000,4947000,4965000
Change in working capital,-,125000,3903000,-566000
Inventory,-,-1933000,3758000,641000
Other working capital,-,3440000,10174000,6884000
Other non-cash items,-,59000,587000,2147000
Net cash provided by operating activites,-,9225000,14127000,10760000
Investments in property plant and equipment,-,-5785000,-3953000,-3876000
Acquisitions net,-,-682000,-,-198000
Purchases of investments,-,-1285000,-464000,-155000
Sales/Maturities of investments,-,672000,447000,11000
Other investing activites,-,1009000,37000,-116000
Net cash used for investing activites,-,-5708000,-3689000,-3701000
Net change in cash,-,-1358000,3936000,-1885000
Cash at beginning of period,-,20423000,16486000,18372000
Cash at end of period,-,19169000,20423000,16486000
Operating Cash Flow,-,9225000,14127000,10760000
Capital Expenditure,-,-5785000,-3953000,-3876000
Free Cash Flow,-,3440000,10174000,6884000
