Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,7108511,6747659,5810129,4680932
Liabilities,,,,
Total Liabilities,6122872,5883392,5120465,4245535
Stockholders' Equity,,,,
Common Stock,5151,5136,4693,3802
Retained Earnings,195813,97074,29914,-13657
Accumulated other comprehensive income,4465,-13060,-4216,-7513
Total stockholders' equity,985639,864267,689664,435397
Total liabilities and stockholders' equity,7108511,6747659,5810129,4680932
