Breakdown,ttm,3/31/2019
Net Income,2861138,5934906
Depreciation & amortization,-,763872
Change in working capital,-,-590517
Inventory,-,159780
Other working capital,-,-106756
Other non-cash items,-,-81339
Net cash provided by operating activites,-,2078163
Investments in property plant and equipment,-,-2184919
Acquisitions net,-,-20000
Other investing activites,-,-72778
Net cash used for investing activites,-,-2272870
Net change in cash,-,-664014
Cash at beginning of period,-,6398424
Cash at end of period,-,7425429
Operating Cash Flow,-,2078163
Capital Expenditure,-,-2184919
Free Cash Flow,-,-106756
